analysis,repeat,representation,rep_key,train_group,test_group,direction,n_donors_per_group,sampled_group_a_donors,sampled_group_b_donors,macro_f1,accuracy,n_train_cells,n_test_cells,n_classes
donor_count_matched,7,harmony,X_harmony,Cambridge,Ncl,Cambridge_to_Ncl,11,CV0902;CV0904;CV0911;CV0915;CV0917;CV0926;CV0929;CV0934;CV0939;CV0940;CV0944,MH8919177;MH8919178;MH8919179;MH8919226;MH8919227;MH8919282;MH8919283;MH8919332;MH8919333;newcastle65;newcastle74,0.7150992092728857,0.7960662525879917,4827,4830,13
donor_count_matched,7,harmony,X_harmony,Ncl,Cambridge,Ncl_to_Cambridge,11,CV0902;CV0904;CV0911;CV0915;CV0917;CV0926;CV0929;CV0934;CV0939;CV0940;CV0944,MH8919177;MH8919178;MH8919179;MH8919226;MH8919227;MH8919282;MH8919283;MH8919332;MH8919333;newcastle65;newcastle74,0.6777492377263932,0.6815827636212969,4830,4827,13
donor_count_matched,7,scvi,X_scVI,Cambridge,Ncl,Cambridge_to_Ncl,11,CV0902;CV0904;CV0911;CV0915;CV0917;CV0926;CV0929;CV0934;CV0939;CV0940;CV0944,MH8919177;MH8919178;MH8919179;MH8919226;MH8919227;MH8919282;MH8919283;MH8919332;MH8919333;newcastle65;newcastle74,0.6980767715717882,0.7832298136645963,4827,4830,13
donor_count_matched,7,scvi,X_scVI,Ncl,Cambridge,Ncl_to_Cambridge,11,CV0902;CV0904;CV0911;CV0915;CV0917;CV0926;CV0929;CV0934;CV0939;CV0940;CV0944,MH8919177;MH8919178;MH8919179;MH8919226;MH8919227;MH8919282;MH8919283;MH8919332;MH8919333;newcastle65;newcastle74,0.6555339196527932,0.6478143774601202,4830,4827,13
donor_count_matched,8,hvg,hvg,Cambridge,Ncl,Cambridge_to_Ncl,11,CV0902;CV0904;CV0911;CV0915;CV0917;CV0926;CV0929;CV0934;CV0939;CV0940;CV0944,MH8919176;MH8919178;MH8919179;MH8919226;MH8919227;MH8919282;MH8919283;MH8919332;MH8919333;newcastle65;newcastle74,0.7084157881286619,0.7779854620976117,4827,4815,13
donor_count_matched,8,hvg,hvg,Ncl,Cambridge,Ncl_to_Cambridge,11,CV0902;CV0904;CV0911;CV0915;CV0917;CV0926;CV0929;CV0934;CV0939;CV0940;CV0944,MH8919176;MH8919178;MH8919179;MH8919226;MH8919227;MH8919282;MH8919283;MH8919332;MH8919333;newcastle65;newcastle74,0.6623091767690893,0.6633519784545266,4815,4827,13
donor_count_matched,8,pca,X_pca,Cambridge,Ncl,Cambridge_to_Ncl,11,CV0902;CV0904;CV0911;CV0915;CV0917;CV0926;CV0929;CV0934;CV0939;CV0940;CV0944,MH8919176;MH8919178;MH8919179;MH8919226;MH8919227;MH8919282;MH8919283;MH8919332;MH8919333;newcastle65;newcastle74,0.7398361224149651,0.8143302180685358,4827,4815,13
donor_count_matched,8,pca,X_pca,Ncl,Cambridge,Ncl_to_Cambridge,11,CV0902;CV0904;CV0911;CV0915;CV0917;CV0926;CV0929;CV0934;CV0939;CV0940;CV0944,MH8919176;MH8919178;MH8919179;MH8919226;MH8919227;MH8919282;MH8919283;MH8919332;MH8919333;newcastle65;newcastle74,0.6918948941936178,0.6950486844831159,4815,4827,13
donor_count_matched,8,harmony,X_harmony,Cambridge,Ncl,Cambridge_to_Ncl,11,CV0902;CV0904;CV0911;CV0915;CV0917;CV0926;CV0929;CV0934;CV0939;CV0940;CV0944,MH8919176;MH8919178;MH8919179;MH8919226;MH8919227;MH8919282;MH8919283;MH8919332;MH8919333;newcastle65;newcastle74,0.7102132816429023,0.7800623052959501,4827,4815,13
donor_count_matched,8,harmony,X_harmony,Ncl,Cambridge,Ncl_to_Cambridge,11,CV0902;CV0904;CV0911;CV0915;CV0917;CV0926;CV0929;CV0934;CV0939;CV0940;CV0944,MH8919176;MH8919178;MH8919179;MH8919226;MH8919227;MH8919282;MH8919283;MH8919332;MH8919333;newcastle65;newcastle74,0.677250518777783,0.6799254195152269,4815,4827,13
donor_count_matched,8,scvi,X_scVI,Cambridge,Ncl,Cambridge_to_Ncl,11,CV0902;CV0904;CV0911;CV0915;CV0917;CV0926;CV0929;CV0934;CV0939;CV0940;CV0944,MH8919176;MH8919178;MH8919179;MH8919226;MH8919227;MH8919282;MH8919283;MH8919332;MH8919333;newcastle65;newcastle74,0.6942584491535808,0.7665628245067497,4827,4815,13
